"race","yt_district","candidate","length","uid","uid_ext"
"gov2014","AZ","Ducey",32.066667,"HnR4J6O8yQ0","AZ_Ducey/HnR4J6O8yQ0"
"gov2014","AZ","Ducey",15.51,"IymbfLci-yc","AZ_Ducey/IymbfLci-yc"
"gov2014","AZ","Ducey",16.996667,"NP5FsM0W1d4","AZ_Ducey/NP5FsM0W1d4"
"gov2014","AZ","Ducey",32.066667,"nQtjqD7yRx8","AZ_Ducey/nQtjqD7yRx8"
"gov2014","AZ","Ducey",32.043533,"odEcjAaPVAM","AZ_Ducey/odEcjAaPVAM"
"gov2014","AZ","Ducey",32.066756,"pwNOcipJzto","AZ_Ducey/pwNOcipJzto"
"gov2014","AZ","Ducey",32.066667,"Q0PCJ3N3lGo","AZ_Ducey/Q0PCJ3N3lGo"
"gov2014","AZ","Ducey",60.51,"qiUvc8lZvA0","AZ_Ducey/qiUvc8lZvA0"
"gov2014","AZ","Ducey",32.043533,"RwjyI-Pttnc","AZ_Ducey/RwjyI-Pttnc"
"gov2014","AZ","Ducey",26.446667,"sQ49EM0jcG8","AZ_Ducey/sQ49EM0jcG8"
"gov2014","AZ","Ducey",32.020311,"ujEX0gUAzLo","AZ_Ducey/ujEX0gUAzLo"
"gov2014","AZ","Ducey",64.017411,"V8JXSY5tsFw","AZ_Ducey/V8JXSY5tsFw"
"gov2014","AZ","Ducey",61.021667,"VLNdC1v87pc","AZ_Ducey/VLNdC1v87pc"
"gov2014","AZ","Ducey",32.043333,"WBwdfe6NQwk","AZ_Ducey/WBwdfe6NQwk"
"gov2014","AZ","Ducey",32.043533,"ybpUBm-CZXI","AZ_Ducey/ybpUBm-CZXI"
"gov2014","AZ","Ducey",13.978333,"YNotkwa6JsQ","AZ_Ducey/YNotkwa6JsQ"
"gov2014","CA","Kashkari",26.98,"B7bse6lHTjw","CA_Kashkari/B7bse6lHTjw"
"gov2014","CA","Kashkari",61.95,"dRlN4lcj5hA","CA_Kashkari/dRlN4lcj5hA"
"gov2014","CA","Kashkari",30.789656,"G2EUV4Tx7Kc","CA_Kashkari/G2EUV4Tx7Kc"
"gov2014","CA","Kashkari",30.068333,"geOL3DNh0Z8","CA_Kashkari/geOL3DNh0Z8"
"gov2014","CA","Kashkari",32.925,"jVJzknBDO5U","CA_Kashkari/jVJzknBDO5U"
"gov2014","CA","Kashkari",15.069744,"lCGGdqQOuYs","CA_Kashkari/lCGGdqQOuYs"
